"","parl_id","syls","parly","gender","name","wikidataid","constituency","region","msp_type","office_held"
"843",4941,486032,"5th","M","Humza Yousaf","Q174924","Glasgow Pollok","Glasgow","Constituency","The Minister for Transport and the Islands"
"844",4941,486032,"5th","M","Humza Yousaf","Q174924","Glasgow Pollok","Glasgow","Constituency","The Cabinet Secretary for Justice"
"845",4947,266150,"5th","M","John Finnie","Q1495635",NA,"Highlands and Islands","Region",NA
"846",4951,214322,"5th","F","Joan McAlpine","Q512681",NA,"South Scotland","Region","The Parliamentary Liaison Officer to the Office of the First Minister"
"847",4951,214322,"5th","F","Joan McAlpine","Q512681",NA,"South Scotland","Region",NA
"848",4952,312935,"5th","M","Paul Wheelhouse","Q2063093",NA,"South Scotland","Region","The Minister for Community Safety and Legal Affairs"
"849",4952,312935,"5th","M","Paul Wheelhouse","Q2063093",NA,"South Scotland","Region","The Minister for Business, Innovation and Energy"
"850",4952,312935,"5th","M","Paul Wheelhouse","Q2063093",NA,"South Scotland","Region","The Minister for Energy, Connectivity and the Islands"
"851",4964,125159,"5th","M","Mark McDonald","Q1900265","Aberdeen Donside","North East Scotland","Constituency",NA
"852",4964,125159,"5th","M","Mark McDonald","Q1900265","Aberdeen Donside","North East Scotland","Constituency","The Minister for Childcare and Early Years"
"853",4966,366463,"5th","M","Derek Mackay","Q1200058","Renfrewshire North and West","West Scotland","Constituency","The Minister for Transport and Islands"
"854",4966,366463,"5th","M","Derek Mackay","Q1200058","Renfrewshire North and West","West Scotland","Constituency","The Cabinet Secretary for Finance and the Constitution"
"855",4966,366463,"5th","M","Derek Mackay","Q1200058","Renfrewshire North and West","West Scotland","Constituency","The Cabinet Secretary for Finance, Economy and Fair Work"
"856",4976,160778,"5th","F","Ruth Davidson","Q2177593","Edinburgh Central","Lothian","Constituency",NA
"857",4981,62259,"5th","M","Douglas Ross","Q24039769",NA,"Highlands and Islands","Region",NA
"858",4982,180815,"5th","M","Edward Mountain","Q24039768",NA,"Highlands and Islands","Region",NA
"859",4987,226939,"5th","M","Miles Briggs","Q24052672",NA,"Lothian","Region",NA
"860",5009,267436,"5th","M","Willie Rennie","Q2581473","North East Fife","Mid Scotland and Fife","Constituency",NA
"861",5034,58863,"5th","F","Jenny Marra","Q1687049",NA,"North East Scotland","Region",NA
"862",5042,103021,"5th","M","Mark Griffin","Q1900077",NA,"Central Scotland","Region",NA
"863",5054,251844,"5th","M","Neil Findlay","Q979197",NA,"Lothian","Region",NA
"864",5059,134459,"5th","F","Mary Fee","Q1906255",NA,"West Scotland","Region",NA
"865",5060,106078,"5th","M","Neil Bibby","Q1557330",NA,"West Scotland","Region",NA
"866",5074,65746,"5th","M","Gordon MacDonald","Q1538053","Edinburgh Pentlands","Lothian","Constituency",NA
"867",5075,90936,"5th","M","David Torrance ","Q1176878","Kirkcaldy","Mid Scotland and Fife","Constituency",NA
"868",5106,238733,"5th","M","Kevin Stewart","Q1740263","Aberdeen Central","North East Scotland","Constituency",NA
"869",5106,238733,"5th","M","Kevin Stewart","Q1740263","Aberdeen Central","North East Scotland","Constituency","The Minister for Local Government and Housing"
"870",5106,238733,"5th","M","Kevin Stewart","Q1740263","Aberdeen Central","North East Scotland","Constituency","The Minister for Local Government, Housing and Planning"
"871",5107,235094,"5th","M","Graeme Dey","Q1349075","Angus South","North East Scotland","Constituency",NA
